bill_id,Date,Ref. No.,Party's Name,Amount,tax,tax_amount,base_amount,tds,amount_after_tds,payment_id,Due on,Overdue
1,31-Mar-2015,14-15/D/3522,The Bussan Auto Finance India Pvt.Ltd-DEL,207.56,,,,,,,31-Mar-2015,1140
2,02-Apr-2016,020416/D/030,Bussan Auto Finance Tmf-DEL,344426,,,,,,,02-Apr-2016,772
3,30-Apr-2016,300416/D/187,Bussan Auto Finance Tmf-DEL,649,,,,,,,30-Apr-2016,744
4,30-Apr-2016,300416/D/188,Bussan Auto Finance Tmf-DEL,119955,,,,,,,30-Apr-2016,744
5,31-May-2016,310516/D/0609,Bussan Auto Finance Tmf-DEL,963,,,,,,,31-May-2016,713
6,02-Jul-2016,020716/D/1106,The Bussan Auto Finance India Pvt.Ltd-DEL,378429,,,,,,,02-Jul-2016,681
7,31-Aug-2016,310816/D/1598,Bussan Auto Finance Tmf-DEL,103635,,,,,,,31-Aug-2016,621
8,30-Sep-2016,300916/D/1896,Bussan Auto Finance Tmf-DEL,124478,,,,,,,30-Sep-2016,591
9,02-Dec-2016,021116/D/2551/NOV,The Bussan Auto Finance India Pvt.Ltd-DEL,4380,,,,,,,02-Dec-2016,528
10,02-Dec-2016,021116/D/2552/NOV,The Bussan Auto Finance India Pvt.Ltd-DEL,407798,,,,,,,02-Dec-2016,528
11,02-Jan-2017,020117/D/3298,The Bussan Auto Finance India Pvt.Ltd-DEL,4380,,,,,,,02-Jan-2017,497
12,31-Jan-2017,310117/D/3571,The Bussan Auto Finance India Pvt.Ltd-DEL,120570,,,,,,,31-Jan-2017,468
13,02-Feb-2017,020217/D/3681,The Bussan Auto Finance India Pvt.Ltd-DEL,4380,,,,,,,02-Feb-2017,466
14,02-Mar-2017,020317/D/4059,The Bussan Auto Finance India Pvt.Ltd-DEL,4380,,,,,,,02-Mar-2017,438
15,31-Mar-2017,310317/D/4252,Bussan Auto Finance Tmf-DEL,137755,,,,,,,31-Mar-2017,409
16,01-May-2017,310117/D/3589,The Bussan Auto Finance India Pvt.Ltd-DEL,194,,,,,,,01-May-2017,378
17,01-May-2017,310117/D/3587,The Bussan Auto Finance India Pvt.Ltd-DEL,10399,,,,,,,01-May-2017,378
18,01-May-2017,310117/D/3590,The Bussan Auto Finance India Pvt.Ltd-DEL,2305,,,,,,,01-May-2017,378
19,01-Jun-2017,300916/D/1942,The Bussan Auto Finance India Pvt.Ltd-DEL,229877,,,,,,,01-Jun-2017,347
20,01-Jun-2017,300916/D/2064,The Bussan Auto Finance India Pvt.Ltd-DEL,99951,,,,,,,01-Jun-2017,347
21,01-Jun-2017,310317/D/4114,The Bussan Auto Finance India Pvt.Ltd-DEL,194,,,,,,,01-Jun-2017,347
22,01-Jun-2017,310317/D/4115,The Bussan Auto Finance India Pvt.Ltd-DEL,2305,,,,,,,01-Jun-2017,347
23,01-Jun-2017,310317/D/4116,The Bussan Auto Finance India Pvt.Ltd-DEL,2208,,,,,,,01-Jun-2017,347
24,01-Jun-2017,310317/D/4118,The Bussan Auto Finance India Pvt.Ltd-DEL,1258,,,,,,,01-Jun-2017,347
25,01-Jun-2017,310317/D/4119,The Bussan Auto Finance India Pvt.Ltd-DEL,622,,,,,,,01-Jun-2017,347
26,01-Jun-2017,310317/D/4120,The Bussan Auto Finance India Pvt.Ltd-DEL,5076,,,,,,,01-Jun-2017,347
27,01-Jun-2017,310317/D/4121,The Bussan Auto Finance India Pvt.Ltd-DEL,496,,,,,,,01-Jun-2017,347
28,01-Jun-2017,310317/D/4111,The Bussan Auto Finance India Pvt.Ltd-DEL,376509,,,,,,,01-Jun-2017,347
29,30-Jun-2017,311216/D/3119,Bussan Auto Finance Tmf-DEL,159,,,,,,,30-Jun-2017,318
30,30-Jun-2017,301116/D/2683,Bussan Auto Finance Tmf-DEL,43,,,,,,,30-Jun-2017,318
31,30-Jun-2017,301116/D/2684,Bussan Auto Finance Tmf-DEL,680,,,,,,,30-Jun-2017,318
32,30-Jun-2017,311216/D/3116,Bussan Auto Finance Tmf-DEL,530,,,,,,,30-Jun-2017,318
33,30-Jun-2017,301116/D/2682,Bussan Auto Finance Tmf-DEL,5288,,,,,,,30-Jun-2017,318
34,30-Jun-2017,310317/D/4112,The Bussan Auto Finance India Pvt.Ltd-DEL,22887,,,,,,,30-Jun-2017,318
35,30-Jun-2017,301116/D/2685,The Bussan Auto Finance India Pvt.Ltd-DEL,249881,,,,,,,30-Jun-2017,318
36,30-Jun-2017,301116/D/2686,The Bussan Auto Finance India Pvt.Ltd-DEL,151857,,,,,,,30-Jun-2017,318
37,30-Jun-2017,021216/D/2914,The Bussan Auto Finance India Pvt.Ltd-DEL,417207,,,,,,,30-Jun-2017,318
38,30-Jun-2017,021216/D/2913,The Bussan Auto Finance India Pvt.Ltd-DEL,4380,,,,,,,30-Jun-2017,318
39,30-Jun-2017,311216/D/3120,The Bussan Auto Finance India Pvt.Ltd-DEL,353486,,,,,,,30-Jun-2017,318
40,30-Jun-2017,300417/D/137,The Bussan Auto Finance India Pvt.Ltd-DEL,12322,,,,,,,30-Jun-2017,318
41,30-Jun-2017,310117/D/3648,The Bussan Auto Finance India Pvt.Ltd-DEL,300142,,,,,,,30-Jun-2017,318
