Date,Amount,payment_id
31-Mar-2015,207.56,
02-Apr-2016,344426,
30-Apr-2016,649,
30-Apr-2016,119955,
31-May-2016,963,
02-Jul-2016,378429,
31-Aug-2016,103635,
30-Sep-2016,124478,
02-Dec-2016,4380,
02-Dec-2016,407798,
02-Jan-2017,4380,
31-Jan-2017,120570,
02-Feb-2017,4380,
02-Mar-2017,4380,
31-Mar-2017,137755,
01-May-2017,194,
01-May-2017,10399,
01-May-2017,2305,
01-Jun-2017,229877,
01-Jun-2017,99951,
01-Jun-2017,194,
01-Jun-2017,2305,
01-Jun-2017,2208,
01-Jun-2017,1258,
01-Jun-2017,622,
01-Jun-2017,5076,
01-Jun-2017,496,
01-Jun-2017,376509,
30-Jun-2017,159,
30-Jun-2017,43,
30-Jun-2017,680,
30-Jun-2017,530,
30-Jun-2017,5288,
30-Jun-2017,22887,
30-Jun-2017,249881,
30-Jun-2017,151857,
30-Jun-2017,417207,
30-Jun-2017,4380,
30-Jun-2017,353486,
30-Jun-2017,12322,
30-Jun-2017,300142,
30-Jun-2017,317,
30-Jun-2017,2305,
30-Jun-2017,496,
30-Jun-2017,43,
30-Jun-2017,530,
30-Jun-2017,496,
30-Jun-2017,340643,
30-Jun-2017,43,
30-Jun-2017,496,
30-Jun-2017,479682,
30-Jun-2017,10399,
30-Jun-2017,31988,
30-Jun-2017,194,
30-Jun-2017,2305,
30-Jun-2017,1058,
30-Jun-2017,392,
01-Aug-2017,4380,
01-Aug-2017,742,
01-Aug-2017,496,
01-Sep-2017,4380,
29-Sep-2017,3101.04,
27-Dec-2017,396979.14,
27-Dec-2017,15269.99,
27-Dec-2017,33031.92,
27-Dec-2017,396.44,
27-Dec-2017,2364.45,
27-Dec-2017,1500,
27-Dec-2017,543.74,
27-Dec-2017,339.8,
27-Dec-2017,339.84,
27-Dec-2017,815.61,
08-Jan-2018,15269.99,
08-Jan-2018,2364.45,
08-Jan-2018,1110.13,
08-Jan-2018,543.74,
08-Jan-2018,5385.25,
08-Jan-2018,396.44,
08-Jan-2018,509.77,
11-Jan-2018,33569.94,
11-Jan-2018,7808.43,
22-Jan-2018,4494.03,
14-Feb-2018,15269.99,
14-Feb-2018,11497.04,
14-Feb-2018,396.44,
14-Feb-2018,2364.45,
14-Feb-2018,1257.4,
14-Feb-2018,543.74,
14-Feb-2018,5525.91,
14-Feb-2018,509.71,
14-Feb-2018,28996.3,
20-Feb-2018,4494.03,
06-Mar-2018,42.48,
06-Mar-2018,108739.12,
06-Mar-2018,472745.76,
06-Mar-2018,466218,
06-Mar-2018,104910.37,
06-Mar-2018,103566.71,
12-Mar-2018,17016.4,
12-Mar-2018,2364.45,
12-Mar-2018,1132.8,
12-Mar-2018,543.74,
12-Mar-2018,67.96,
12-Mar-2018,4866.99,
12-Mar-2018,509.71,
12-Mar-2018,34376.97,
23-Mar-2018,12642.05,
23-Mar-2018,12642.05,
23-Mar-2018,14454.53,
23-Mar-2018,15270.14,
23-Mar-2018,15270.14,
23-Mar-2018,325.68,
23-Mar-2018,325.68,
23-Mar-2018,325.68,
23-Mar-2018,410.64,
23-Mar-2018,410.64,
23-Mar-2018,2364.72,
23-Mar-2018,2364.72,
23-Mar-2018,2364.72,
23-Mar-2018,2364.72,
23-Mar-2018,2364.72,
23-Mar-2018,1019.52,
23-Mar-2018,1019.52,
23-Mar-2018,1019.52,
23-Mar-2018,1064.83,
23-Mar-2018,1110.14,
23-Mar-2018,67.97,
23-Mar-2018,543.74,
23-Mar-2018,67.97,
23-Mar-2018,543.74,
23-Mar-2018,67.97,
23-Mar-2018,590.94,
23-Mar-2018,67.97,
23-Mar-2018,661.74,
23-Mar-2018,590.94,
23-Mar-2018,4494.03,
23-Mar-2018,4494.03,
23-Mar-2018,4494.03,
23-Mar-2018,4494.03,
23-Mar-2018,4494.03,
23-Mar-2018,509.76,
23-Mar-2018,509.76,
23-Mar-2018,509.76,
23-Mar-2018,509.76,
23-Mar-2018,509.76,
23-Mar-2018,26125.2,
23-Mar-2018,26734.08,
23-Mar-2018,27357.12,
23-Mar-2018,281931.5,
23-Mar-2018,27923.52,
27-Mar-2018,4893.7,
27-Mar-2018,9968.64,
27-Mar-2018,722.16,
27-Mar-2018,271.87,
27-Mar-2018,478758.1,
27-Mar-2018,85353.18,
27-Mar-2018,112.1,
27-Mar-2018,684.4,
27-Mar-2018,100213.15,
27-Mar-2018,6534.84,
27-Mar-2018,63696.4,
27-Mar-2018,12732.2,
27-Mar-2018,71007.68,
27-Mar-2018,5479.92,
27-Mar-2018,56979.84,
27-Mar-2018,4814.4,
28-Mar-2018,249.22,
28-Mar-2018,77887.79,
29-Mar-2018,83779.29,
11-Apr-2018,410.64,
11-Apr-2018,80057.81,
11-Apr-2018,484897.87,
13-Apr-2018,16867.22,
13-Apr-2018,7263.21,
13-Apr-2018,2364.45,
13-Apr-2018,1132.8,
13-Apr-2018,543.74,
13-Apr-2018,101.96,
13-Apr-2018,495141.75,
13-Apr-2018,4599.13,
13-Apr-2018,30525.4,
16-Apr-2018,5324.16,
16-Apr-2018,47.2,
16-Apr-2018,365.8,
16-Apr-2018,1293.28,
16-Apr-2018,106507.98,
16-Apr-2018,2500.42,
16-Apr-2018,4112.3,
19-Apr-2018,4494.03,
