payment_id,Date,Ref. No.,Nature,Group,Party Group,Party's Name,Pending,bill_id,(< 30 days ),30 to 60 days,60 to 90 days,90 to 180 days,180 to 365 days,(> 365 days ),180 to 365 days,(> 365 days )
1,13-Mar-18,"BUSSAN AUTO FIN/ 
14.03.2018 March",Receipts,The Bussan Auto Finance India Pvt.Ltd,Bussan Auto Financial,Unapplied Credits 1-4-2017 Onwards,1741436,,1741436,,,,,,,
2,13-Sep-17,31-03-2017 - BUSSAN AUTO FIN/ 1448510.00 CR ,Receipts,The Bussan Auto Finance India Pvt.Ltd,The Bussan Auto Finance India Pvt.Ltd-DEL,The Bussan Auto Finance India Pvt.Ltd-DEL,1448510,,,,,,1448510,,1448510,
3,13-Sep-17,31-03-2017 - BUSSAN AUTO FIN/ 1448510.00 CR ,Receipts,The Bussan Auto Finance India Pvt.Ltd,The Bussan Auto Finance India Pvt.Ltd-DEL,The Bussan Auto Finance India Pvt.Ltd-DEL,1448510,,,,,,1448510,,1448510,
4,30-Mar-17,BUSSAN AUTO FIN/ ,Receipts,The Bussan Auto Finance India Pvt.Ltd,Bussan Auto Finance Tmf-DEL,Bussan Auto Finance Tmf-DEL,694722,,,,,,,694722,,694722
5,31-Mar-18,"BUSSAN AUTO FIN/ 674,146.12",Receipts,The Bussan Auto Finance India Pvt.Ltd,Bussan Auto,Unapplied Credits 1-4-2017 Onwards,674146,,674146,,,,,,,
6,1-Mar-18,"BUSSAN AUTO FIN/ 453,315.73",Receipts,The Bussan Auto Finance India Pvt.Ltd,Bussan Auto Financial,Unapplied Credits 1-4-2017 Onwards,453316,,453316,,,,,,,
7,1-Mar-18,"BUSSAN AUTO FIN/ 450,520.40",Receipts,The Bussan Auto Finance India Pvt.Ltd,Bussan Auto Financial,Unapplied Credits 1-4-2017 Onwards,450520,,450520,,,,,,,
8,1-Mar-18,"BUSSAN AUTO FIN/ 445,874.79",Receipts,The Bussan Auto Finance India Pvt.Ltd,Bussan Auto Financial,Unapplied Credits 1-4-2017 Onwards,445875,,445875,,,,,,,
9,26-Mar-18,BUSSAN AUTO 438936.45,Receipts,The Bussan Auto Finance India Pvt.Ltd,Bussan Auto Financial,Unapplied Credits 1-4-2017 Onwards,438936,,438936,,,,,,,
10,26-Mar-18,BUSSAN AUTO 433997.48,Receipts,The Bussan Auto Finance India Pvt.Ltd,Bussan Auto Financial,Unapplied Credits 1-4-2017 Onwards,433997,,433997,,,,,,,
